Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-150.5990608,61.4142118500001,Alexander Creek,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-157.31128856,59.4515508600001,New Stuyahok,2nd Class City,Community,Dillingham Census Area,480,1,1,1
-154.43668249,57.56248915,Karluk,CDP,Community,Kodiak Island Borough,27,1,0,1
-170.28228831,57.1203994800001,Saint Paul,2nd Class City,Community,Aleutians West Census Area,391,1,0,1
-152.65179399,66.539456,New Allakaket,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,0,1,0,0
-166.1928612,60.38649408,Mekoryuk,2nd Class City,Community,Bethel Census Area,195,1,0,1
-158.10535466,64.7234193800001,Nulato,2nd Class City,Community,Yukon-Koyukuk Census Area,223,1,0,1
-132.52282231,55.6854862600001,Thorne Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,456,1,0,0
-149.4411111,60.0725,Lowell Point,CDP,Community,Kenai Peninsula Borough,89,1,0,0
-152.70131499,66.55452803,Alatna,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,17,1,0,1
-151.24880589,60.5590139000001,Kenai,Home Rule City,Community,Kenai Peninsula Borough,7380,0,0,0
-155.54739837,64.09977795,Poorman,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-160.49809006,55.34090243,Sand Point,1st Class City,Community,Aleutians East Borough,648,1,0,1
-132.3836088,56.470404,Wrangell,Unified Home Rule Borough,Community,City and Borough of Wrangell,2096,1,1,0
-162.72884219,66.07667336,Deering,2nd Class City,Community,Northwest Arctic Borough,190,1,0,1
-151.29692559,60.7345972300001,Nikiski,CDP,Community,Kenai Peninsula Borough,4443,0,0,0
-165.59052769,61.5286181800001,Chevak,2nd Class City,Community,Kusilvak Census Area,939,1,0,1
-162.02949727,60.2189059200001,Eek,2nd Class City,Community,Bethel Census Area,408,1,0,1
-157.01991376,58.72821587,Naknek,CDP,Community,Bristol Bay Borough,464,1,0,0
-160.31576292,61.5381853700001,Upper Kalskag,2nd Class City,Community,Bethel Census Area,203,1,0,1
-155.58835315,62.9501408500001,McGrath,2nd Class City,Community,Yukon-Koyukuk Census Area,274,1,0,1
-160.36440167,61.5123629700001,Lower Kalskag,2nd Class City,Community,Bethel Census Area,262,1,0,1
-148.84811376,63.85383025,Suntrana,Locality,Place of Interest,Denali Borough,0,0,0,0
174.1121,52.7246000000001,Eareckson Station,Unincorporated,Place of Interest,Aleutians West Census Area,232,0,0,0
-148.05533185,64.8793417300001,Ester Dome,Locality,Community,Fairbanks North Star Borough,0,0,0,0
-149.09074136,64.56270921,Nenana,Home Rule City,Community,Yukon-Koyukuk Census Area,358,1,0,1
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,Matanuska-Susitna Borough,2087,1,0,0
-164.17930051,62.9450601400001,Chuloonawick,Unincorporated,Place of Interest,Kusilvak Census Area,0,1,0,0
-149.971789,62.0168980000001,Caswell,Locality,Place of Interest,Matanuska-Susitna Borough,0,0,0,0
-145.89544905,64.1513819800001,Whitestone,Unincorporated CDP,Community,Southeast Fairbanks Census Area,141,1,0,0
-135.89587576,59.40043417,Klukwan,Unincorporated CDP,Community,Hoonah-Angoon Census Area,88,1,0,1
-154.49827348,59.55470038,Pope-Vannoy Landing,CDP,Place of Interest,Lake and Peninsula Borough,5,1,0,0
-149.02684282,63.9048025500001,Lignite,Locality,Place of Interest,Denali Borough,0,0,0,0
-154.17324554,56.9468146400001,Kaguyak,Locality,Place of Interest,Kodiak Island Borough,0,1,0,0
-147.72600629,61.79346959,Glacier View,CDP,Community,Matanuska-Susitna Borough,239,1,0,0
-150.1075,67.4100000000001,Wiseman,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,5,1,0,0
-146.4218093,67.0167170700001,Venetie,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,185,1,0,1
-151.53200662,59.64718757,Homer,1st Class City,Community,Kenai Peninsula Borough,5491,0,0,0
-151.31957957,60.36911853,Cohoe,CDP,Community,Kenai Peninsula Borough,1523,1,0,0
-151.74113237,59.21271504,Portlock,Locality,Place of Interest,Kenai Peninsula Borough,0,0,0,0
-149.08443821,66.00452448,Stevens Village,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,48,1,0,1
-156.58825541,61.7871601300001,Stony River,Unincorporated CDP,Community,Bethel Census Area,51,1,0,1
-158.72493203,64.3265639300001,Kaltag,2nd Class City,Community,Yukon-Koyukuk Census Area,149,1,0,1
-152.0777034,65.17118315,Tanana,1st Class City,Community,Yukon-Koyukuk Census Area,231,1,0,1
-161.19435626,64.3545557,Shaktoolik,2nd Class City,Community,Nome Census Area,214,1,0,1
-156.87712316,64.7426528600001,Galena,1st Class City,Community,Yukon-Koyukuk Census Area,476,1,0,1
-156.52113197,63.14397275,Ophir,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-156.88237275,66.9077009200001,Kobuk,2nd Class City,Community,Northwest Arctic Borough,183,1,0,1
-132.8235136,55.2059259000001,Hydaburg,1st Class City,Community,Prince of Wales-Hyder Census Area,376,1,1,1
-146.77891647,61.9898422000001,Nelchina,Unincorporated CDP,Community,Copper River Census Area,46,1,0,0
-133.12206307,56.11714153,Whale Pass,2nd Class City,Community,Prince of Wales-Hyder Census Area,84,1,0,0
-150.11199934,62.32317025,Talkeetna,CDP,Community,Matanuska-Susitna Borough,1066,0,0,0
-161.43754673,60.81122837,Kwethluk,2nd Class City,Community,Bethel Census Area,799,1,0,1
-162.88706395,59.9594387400001,Kongiganak,Unincorporated CDP,Community,Bethel Census Area,494,1,0,1
-166.09643323,61.5308796900001,Hooper Bay,2nd Class City,Community,Kusilvak Census Area,1330,1,0,1
-147.08105662,64.6701432,Eielson AFB,CDP,Place of Interest,Fairbanks North Star Borough,3194,0,0,0
-164.62941623,60.93686382,Newtok,Unincorporated CDP,Community,Bethel Census Area,193,1,0,1
-160.01011021,66.60439151,Selawik,2nd Class City,Community,Northwest Arctic Borough,780,1,0,1
-161.20184982,56.0012060400001,Nelson Lagoon,CDP,Community,Aleutians East Borough,33,1,0,1
-150.63716518,64.9958868300001,Manley Hot Springs,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,98,1,0,1
-161.44909474,60.91380831,Akiachak,Unincorporated CDP,Community,Bethel Census Area,660,1,0,1
-161.58225677,59.1182251700001,Goodnews Bay,2nd Class City,Community,Bethel Census Area,249,1,0,1
-149.36827705,60.4864352800001,Moose Pass,CDP,Community,Kenai Peninsula Borough,232,0,0,0
-151.64995402,59.4743452800001,Seldovia Village,CDP,Community,Kenai Peninsula Borough,201,1,0,0
-152.77029002,58.0069396100001,Afognak,Locality,Place of Interest,Kodiak Island Borough,0,1,0,0
-149.14533535,61.64000731,Farm Loop,CDP,Place of Interest,Matanuska-Susitna Borough,2748,1,0,0
-151.04303622,61.1721485100001,Beluga,CDP,Place of Interest,Kenai Peninsula Borough,35,1,0,0
-161.32349606,61.78384234,Russian Mission,2nd Class City,Community,Kusilvak Census Area,420,1,0,1
-133.60721671,56.3223510700001,Port Protection,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,35,1,0,0
-160.28060728,59.07512832,Twin Hills,Unincorporated CDP,Community,Dillingham Census Area,85,1,1,1
-134.40087082,58.2791882700001,Douglas,Locality,Place of Interest,City and Borough of Juneau,5573,0,0,0
-150.79703641,60.5370290800001,Sterling,CDP,Community,Kenai Peninsula Borough,5998,0,0,0
-151.71857386,59.44059723,Seldovia,1st Class City,Community,Kenai Peninsula Borough,258,1,0,0
-149.11775808,61.5997057600001,Palmer,Home Rule City,Community,Matanuska-Susitna Borough,5932,0,0,0
-153.42115679,57.68276073,Uganik,Locality,Place of Interest,Kodiak Island Borough,0,0,1,0
-146.5383,62.0494,Mendeltna,Unincorporated CDP,Community,Copper River Census Area,38,1,0,0
-149.62222901,60.91793289,Hope,CDP,Community,Kenai Peninsula Borough,153,0,0,0
-145.73666819,64.04716726,Delta Junction,2nd Class City,Community,Southeast Fairbanks Census Area,925,0,0,0
-144.63907262,65.4830449,Circle Hot Springs,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-164.50713521,60.8188798400001,Mertarvik,Unincorporated CDP,Place of Interest,Bethel Census Area,71,1,0,0
-145.72394043,63.9918179900001,Fort Greely,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,363,0,0,0
-149.44420328,61.58209845,Wasilla,1st Class City,Community,Matanuska-Susitna Borough,9227,0,0,0
-151.14339542,61.06808705,Tyonek,CDP,Community,Kenai Peninsula Borough,151,1,0,1
-151.91992102,59.3544344900001,Nanwalek,CDP,Community,Kenai Peninsula Borough,244,1,0,1
-141.93364877,64.0726259100001,Chicken,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,12,1,0,0
-149.01110337,61.69132433,Buffalo Soapstone,CDP,Community,Matanuska-Susitna Borough,1042,1,0,0
-151.5575,59.6761111000001,Diamond Ridge,CDP,Community,Kenai Peninsula Borough,1336,1,0,0
-164.28034055,60.1580149500001,Chefornak,2nd Class City,Community,Bethel Census Area,504,1,0,1
-164.66754759,62.6869771400001,Alakanuk,2nd Class City,Community,Kusilvak Census Area,737,1,0,1
-148.8773404,61.7095915900001,Sutton-Alpine,CDP,Community,Matanuska-Susitna Borough,1024,1,0,0
-151.29865991,59.7254375000001,Fritz Creek,CDP,Community,Kenai Peninsula Borough,2282,0,0,0
-176.64029588,51.86824598,Adak Station,Unincorporated,Place of Interest,Aleutians West Census Area,0,0,0,0
-163.17516104,62.0514716000001,Saint Mary's,1st Class City,Community,Kusilvak Census Area,593,1,0,1
-154.9061,59.7547000000001,Iliamna,CDP,Community,Lake and Peninsula Borough,112,1,0,1
-150.99901621,70.21731414,Nuiqsut,2nd Class City,Community,North Slope Borough,525,1,0,1
-134.7336438,57.94151874,Cube Cove,Unincorporated,Place of Interest,Hoonah-Angoon Census Area,0,1,0,0
-144.82193545,65.57070889,Central,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,64,1,1,0
-164.85200389,62.5310651300001,Nunam Iqua,2nd Class City,Community,Kusilvak Census Area,216,1,0,1
-165.19426449,60.4979951400001,Umkumiute,Unincorporated,Place of Interest,Bethel Census Area,0,1,0,0
-147.97679327,64.85543162,Ester,CDP,Community,Fairbanks North Star Borough,2516,0,0,0
-161.9006125,59.7514267400001,Quinhagak,2nd Class City,Community,Bethel Census Area,744,1,0,1
-157.28569589,59.7264073700001,Koliganek,Unincorporated CDP,Community,Dillingham Census Area,176,1,1,1
-157.13819049,66.8880443,Shungnak,2nd Class City,Community,Northwest Arctic Borough,244,1,0,1
-150.04551523,61.7440144400001,Willow,CDP,Community,Matanuska-Susitna Borough,2278,0,0,0
-159.24202177,61.57491472,Chuathbaluk,2nd Class City,Community,Bethel Census Area,93,1,0,1
-163.8941667,62.8961111,Hamilton,Unincorporated,Place of Interest,Kusilvak Census Area,0,1,0,0
-157.70270185,64.8817887800001,Koyukuk,2nd Class City,Community,Yukon-Koyukuk Census Area,94,1,0,1
-151.73586607,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,North Slope Borough,410,1,0,1
-154.17324554,56.9468146400001,Akhiok,2nd Class City,Community,Kodiak Island Borough,58,1,1,1
-166.73427192,68.34808223,Point Hope,2nd Class City,Community,North Slope Borough,879,1,0,1
-161.77136517,60.7226475400001,Oscarville,Unincorporated CDP,Community,Bethel Census Area,75,1,0,1
-151.73800293,59.93501064,Happy Valley,CDP,Community,Kenai Peninsula Borough,695,1,0,0
-145.30187315,62.3018968100001,Gakona,Unincorporated CDP,Community,Copper River Census Area,179,1,0,0
-142.03526376,62.05966564,Chisana,Unincorporated CDP,Place of Interest,Copper River Census Area,0,1,1,0
-150.76790264,62.4964964500001,Petersville,CDP,Community,Matanuska-Susitna Borough,28,1,0,0
-164.03794006,59.9363864000001,Kipnuk,Unincorporated CDP,Community,Bethel Census Area,712,1,0,1
-148.9852036,60.8320999700001,Portage,Locality,Place of Interest,Municipality of Anchorage,0,0,0,0
-133.65815775,55.9551227100001,Edna Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,49,1,0,0
-153.28367127,57.21341891,Old Harbor,2nd Class City,Community,Kodiak Island Borough,210,1,0,1
-160.95646047,61.09868491,Tuluksak,Unincorporated CDP,Community,Bethel Census Area,424,1,0,1
-154.74918539,59.4400057400001,Kokhanok,CDP,Community,Lake and Peninsula Borough,139,1,0,1
-151.83401493,59.7764369000001,Anchor Point,CDP,Community,Kenai Peninsula Borough,2148,0,0,0
-157.57733276,57.5642993500001,Pilot Point,2nd Class City,Community,Lake and Peninsula Borough,59,1,1,1
-135.33862304,57.0490212600001,Sitka,Unified Home Rule Borough,Community,City and Borough of Sitka,8387,1,1,0
-154.69920739,63.1054040400001,Medfra,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-143.96993915,62.7065704,Slana,Unincorporated CDP,Community,Copper River Census Area,105,1,0,0
-144.69818393,63.99574441,Healy Lake,Unincorporated CDP,Community,Southeast Fairbanks Census Area,24,1,1,1
-150.63388448,61.49836623,Susitna,CDP,Community,Matanuska-Susitna Borough,10,1,0,0
-151.67510116,60.04305213,Ninilchik,CDP,Community,Kenai Peninsula Borough,844,0,0,1
-161.75319706,60.7082335600001,Napaskiak,2nd Class City,Community,Bethel Census Area,487,1,0,1
-136.3454861,58.19391484,Elfin Cove,Unincorporated CDP,Community,Hoonah-Angoon Census Area,32,1,1,0
-144.04934005,63.65559219,Dot Lake Village,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,44,1,0,1
-157.17040975,61.7026823800001,Sleetmute,Unincorporated CDP,Community,Bethel Census Area,89,1,0,1
-149.43922421,60.10312795,Seward,Home Rule City,Community,Kenai Peninsula Borough,2603,0,0,0
-149.38484824,61.61025377,Tanaina,CDP,Place of Interest,Matanuska-Susitna Borough,8826,1,0,0
-165.06382026,65.1473228300001,Mary's Igloo,Unincorporated,Place of Interest,Nome Census Area,1,1,0,0
-151.07407142,59.7946689300001,Kachemak Selo,Locality,Community,Kenai Peninsula Borough,0,0,0,0
-160.57551861,55.98767639,Port Moller,Locality,Place of Interest,Aleutians East Borough,0,0,0,0
-133.15108263,55.4760442100001,Craig,1st Class City,Community,Prince of Wales-Hyder Census Area,969,1,0,1
-147.6183,64.9581000000001,Fox,CDP,Community,Fairbanks North Star Borough,418,0,0,0
-149.310724,61.6183780000001,North Lakes,CDP,Place of Interest,Matanuska-Susitna Borough,9733,0,0,0
-135.50986598,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,Hoonah-Angoon Census Area,19,1,0,0
-149.19051194,64.2554297,Clear,Locality,Place of Interest,Denali Borough,0,0,0,0
-143.35599738,63.3762792000001,Tanacross,Unincorporated CDP,Community,Southeast Fairbanks Census Area,138,1,0,1
-160.37879111,59.0605115000001,Togiak,2nd Class City,Community,Dillingham Census Area,807,1,0,1
173.17080016,52.82597479,Attu Station,Unincorporated CDP,Place of Interest,Aleutians West Census Area,0,1,0,0
-150.2337668,62.31623367,Trapper Creek,CDP,Community,Matanuska-Susitna Borough,497,0,0,0
-161.77177087,60.7911992000001,Bethel,2nd Class City,Community,Bethel Census Area,6362,0,0,1
-141.04578638,64.74518901,Eagle Village,Unincorporated CDP,Community,Southeast Fairbanks Census Area,49,1,0,0
-163.41473878,54.8550308600001,False Pass,2nd Class City,Community,Aleutians East Borough,397,1,1,1
-168.95179186,65.7583525100001,Diomede,2nd Class City,Community,Nome Census Area,85,1,1,1
-145.33214976,62.0110652400001,Silver Springs,Unincorporated CDP,Community,Copper River Census Area,104,1,0,0
-147.62855218,65.1227222900001,Haystack,Locality,Community,Fairbanks North Star Borough,0,0,0,0
-149.24867697,61.6932211800001,Fishhook,CDP,Community,Matanuska-Susitna Borough,5216,0,0,0
-152.58367032,58.4904418200001,Port William,Locality,Place of Interest,Kodiak Island Borough,0,1,0,0
-145.37187803,62.26858008,Gulkana,Unincorporated CDP,Community,Copper River Census Area,90,1,1,1
-157.71981375,58.9051910300001,Portage Creek,Unincorporated CDP,Place of Interest,Dillingham Census Area,4,1,0,1
-170.4840268,63.6929776000001,Savoonga,2nd Class City,Community,Nome Census Area,810,1,0,1
-151.53782894,59.46585407,Jakolof Bay,Locality,Place of Interest,Kenai Peninsula Borough,0,0,0,0
-144.60181163,63.67518647,Dry Creek,Unincorporated CDP,Community,Southeast Fairbanks Census Area,58,1,0,0
-162.26450688,64.61655211,Elim,2nd Class City,Community,Nome Census Area,345,1,0,1
-159.48416326,55.9034342200001,Ivanof Bay,CDP,Place of Interest,Lake and Peninsula Borough,1,1,0,1
-166.07076445,66.25510533,Shishmaref,2nd Class City,Community,Nome Census Area,581,1,0,1
-150.18959842,67.25623468,Coldfoot,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,28,1,0,0
-149.42613053,60.88404712,Sunrise,CDP,Place of Interest,Kenai Peninsula Borough,14,1,0,0
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,Nome Census Area,414,1,0,1
-135.44570828,58.10953807,Hoonah,1st Class City,Community,Hoonah-Angoon Census Area,902,1,0,1
-155.48894931,64.7392281,Ruby,2nd Class City,Community,Yukon-Koyukuk Census Area,141,1,0,1
-148.68597259,60.7722882300001,Whittier,2nd Class City,Community,Chugach Census Area,260,1,0,0
-156.03611361,57.5677538,Kanatak,Locality,Place of Interest,Bristol Bay Borough,0,1,0,0
-160.1993288,62.65252995,Anvik,2nd Class City,Community,Yukon-Koyukuk Census Area,61,1,0,1
-162.85415523,68.07171169,Red Dog Mine,CDP,Place of Interest,Northwest Arctic Borough,5,1,0,0
-131.57330705,55.1260739100001,Metlakatla,Indian reservation organized under federal law,Community,Prince of Wales-Hyder Census Area,1403,1,0,0
-145.24128376,66.5661669,Fort Yukon,2nd Class City,Community,Yukon-Koyukuk Census Area,508,1,0,1
-133.20267814,55.86896699,Naukati Bay,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,137,1,0,0
-162.67635558,60.3427841600001,Tuntutuliak,Unincorporated CDP,Community,Bethel Census Area,485,1,0,1
-146.58825648,62.29986189,Lake Louise,CDP,Community,Matanuska-Susitna Borough,35,1,0,0
-151.08107415,60.53130471,Ridgeway,CDP,Community,Kenai Peninsula Borough,2073,1,0,0
-150.91597622,59.8535156300001,Fox River,CDP,Place of Interest,Kenai Peninsula Borough,641,1,0,0
-149.807094,61.2570600000001,Joint Base Elmendorf-Richardson,Locality,Place of Interest,Municipality of Anchorage,4657,0,0,0
-168.05495062,64.9610826800001,King Island,Unincorporated,Place of Interest,Nome Census Area,0,1,0,0
-164.72996641,60.4799803000001,Nightmute,2nd Class City,Community,Bethel Census Area,304,1,0,1
-148.89538626,63.39242527,Cantwell,CDP,Community,Denali Borough,196,1,0,1
-145.3053,61.955,Copper Center,Unincorporated CDP,Community,Copper River Census Area,320,1,0,0
-149.40230311,60.1685445700001,Bear Creek,CDP,Community,Kenai Peninsula Borough,2067,1,0,0
-143.7278962,66.65040098,Chalkyitsik,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,52,1,0,1
-158.41415576,56.3012632000001,Chignik,2nd Class City,Community,Lake and Peninsula Borough,84,1,1,1
-155.90354017,59.32534731,Igiugig,CDP,Community,Lake and Peninsula Borough,61,1,1,1
-145.1850849,61.7999571,Willow Creek,Unincorporated CDP,Place of Interest,Copper River Census Area,190,1,0,0
-135.5462038,59.31301367,Lutak,CDP,Place of Interest,Haines Borough,65,1,0,0
-161.12902024,65.9776538400001,Buckland,2nd Class City,Community,Northwest Arctic Borough,573,1,0,1
-147.6436527,64.8278334500001,Fort Wainwright,Locality,Place of Interest,Fairbanks North Star Borough,11213,0,0,0
-159.52759488,61.5787638800001,Aniak,2nd Class City,Community,Bethel Census Area,494,1,0,1
-147.76059729,64.8898107300001,Farmers Loop,CDP,Place of Interest,Fairbanks North Star Borough,4681,1,0,0
-149.04599844,61.6283302300001,Lazy Mountain,CDP,Community,Matanuska-Susitna Borough,1572,0,0,0
-146.97720965,64.48242457,Salcha,CDP,Community,Fairbanks North Star Borough,983,0,0,0
-163.77834136,62.9503685000001,Bill Moore's Slough,Unincorporated,Place of Interest,Kusilvak Census Area,0,1,0,0
-148.47881249,61.79624012,Chickaloon,CDP,Community,Matanuska-Susitna Borough,257,0,0,0
-164.5399655,67.7273868300001,Kivalina,2nd Class City,Community,Northwest Arctic Borough,444,1,0,1
-154.32808373,60.19602229,Port Alsworth,CDP,Community,Lake and Peninsula Borough,181,1,0,0
-146.85516397,64.8777178500001,Pleasant Valley,CDP,Community,Fairbanks North Star Borough,599,1,0,0
-158.61901559,56.93007699,Port Heiden,2nd Class City,Community,Lake and Peninsula Borough,91,1,1,1
-149.1179,64.6003000000001,Four Mile Road,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,32,1,0,0
-166.84951599,65.2618559900001,Port Clarence,Unincorporated CDP,Place of Interest,Nome Census Area,0,1,0,0
-146.59929367,64.37150719,Harding-Birch Lakes,CDP,Place of Interest,Fairbanks North Star Borough,265,1,0,0
-148.01234038,60.0655963200001,Chenega,Unincorporated CDP,Community,Chugach Census Area,65,1,0,1
-156.85750185,59.11246319,Levelock,CDP,Community,Lake and Peninsula Borough,65,1,1,1
-162.81368155,54.4805039500001,Sanak,Locality,Place of Interest,Aleutians East Borough,0,0,0,0
-160.55117694,55.2413504,Squaw Harbor,Locality,Place of Interest,Aleutians East Borough,0,0,0,0
-165.58157216,61.8428100100001,Scammon Bay,2nd Class City,Community,Kusilvak Census Area,577,1,0,1
-171.71882642,63.7768845400001,Gambell,2nd Class City,Community,Nome Census Area,620,1,0,1
-144.44111788,61.5164902700001,Chitina,Unincorporated CDP,Community,Copper River Census Area,97,1,1,0
-149.03543549,61.54162777,Butte,CDP,Community,Matanuska-Susitna Borough,3545,0,0,0
-165.10723428,60.52954536,Toksook Bay,2nd Class City,Community,Bethel Census Area,612,1,0,1
-149.23996944,61.5740853200001,Gateway,CDP,Community,Matanuska-Susitna Borough,5905,1,0,0
-134.32469777,58.26059675,Thane,Locality,Place of Interest,City and Borough of Juneau,0,0,0,0
-168.09126024,65.60901955,Wales,2nd Class City,Community,Nome Census Area,142,1,0,1
-149.00584489,63.8703844300001,Healy,CDP,Community,Denali Borough,942,0,0,0
-131.59761777,55.3189242300001,Saxman,2nd Class City,Community,Ketchikan Gateway Borough,346,0,0,1
-152.58227229,57.7055350000001,Womens Bay,CDP,Place of Interest,Kodiak Island Borough,736,0,0,0
-150.7622222,60.5019444000001,Funny River,CDP,Community,Kenai Peninsula Borough,1110,1,0,0
